query,rating,anki_id,document,ankihub_id
propofol,1.0,1523479052793,"Because propofol is highly lipophilic, it quickly accumulates in tissues receiving high blood flow, and then is quickly redistributed to organs receiving less blood flow",7f69689b-bbbd-40f4-b806-e374a07734f9
propofol,1.0,1484862424297,"Compared to thiopental, propofol has less post-operative nausea",397eb3f4-f8e0-4ed8-8308-f4170d19f6e5
propofol,1.0,1484862200866,Is propofol used for the induction or maintenance of anesthesia? Both :),83451a82-de2d-4bd8-b76a-3e0083fb0235
propofol,1.0,1484862393206,Propofol and etomidate are IV anesthetics that exert their effects via potentiation of the GABAA receptor complex,e2dee87f-3b0c-45c7-9855-6a42ffebe8ec
propofol,1.0,1484862398045,Propofol causes profound vasodilation of arteries and veins,4cfbc90a-0c9e-46b5-adf1-4157de56191f
propofol,1.0,1484862420084,Which IV anesthetic causes profound vasodilation (and thus hypotension)? Propofol,2f4ac66b-d4e8-4087-b392-f0fa666b8724
propofol,0.0,1484862494101,Awake fiberoptic intubations are often performed with ketamine or dexmedetomidine to prevent respiratory depression,11024e5b-4521-4ca5-a08f-11818ccec6d0
propofol,0.0,1484862510434,"Benzodiazepines (e.g., midazolam) can cause severe post-operative respiratory depression and hypotension",17d2a493-d7ff-4af9-b499-33b13c282482
propofol,0.0,1474254043016,Fomepizole inhibits the enzyme alcohol dehydrogenase,33ad5c29-2814-41e6-8950-90b9eea78343
propofol,0.0,1484879734307,Inhaled anesthetics can cause myocardial depression,4ea71ae0-358a-4305-8dd7-fbbfbbf2a934
propofol,0.0,1484879741939,Inhaled anesthetics can cause respiratory depression,17a0e9cd-e1de-4f96-a673-c0833f897441
propofol,0.0,1484862427507,Is etomidate used for the induction or maintenance of anesthesia? Induction,97b663f0-27b1-438d-8bc0-2624cd0fd78b
propofol,0.0,1484862441642,Is ketamine used for the induction or maintenance of anesthesia? Induction,c8b82699-31a4-4704-aabb-926c4d848fb4
propofol,0.0,1484862521599,Is thiopental used for the induction or maintenance of anesthesia? Induction,ef33b438-e1f7-4f92-9176-d66192666694
propofol,0.0,1484768555637,"IV benzodiazepines (e.g., midazolam) may be used to create a state of conscious sedation for minor procedures and surgeries (e.g., colonoscopy, endoscopy)",cfdcf2cd-2226-4a53-aa17-aac0cf798aba
propofol,0.0,1484768551456,"IV benzodiazepines can be used in general anesthesia (muscle relaxation, amnesia)",69a6c1f0-46ac-476a-9481-1b612c652af1
propofol,0.0,1484862452178,"Ketamine (an arylcyclohexylamine) is a PCP analog that causes ""dissociative anesthesia""",10e0ef75-e99d-4a7a-8c44-fe68fe9f53ec
propofol,0.0,1484862490045,Ketamine causes cardiovascular stimulation,67686f14-4171-4c73-925c-bee1f58939a9
propofol,0.0,1484862498158,Ketamine causes increased cerebral blood flow,3d878771-8d7d-4e90-99fe-f5acbd7d1dfa
propofol,0.0,1484862461322,"Ketamine is an IV anesthetic that can cause disorientation, hallucinations, and unpleasant dreams",4d4ff7e4-7297-4daa-a27b-499101d3ebc4
propofol,0.0,1484862446206,Ketamine is an IV anesthetic that exerts its effect via inhibition of NMDA receptors,ff875c9b-7b4b-40f5-b57a-a9cab0abd3a1
propofol,0.0,1484950582585,Local anesthetics are often used for minor surgical procedures and spinal anesthesia,e0b80c52-1a5a-4ca2-af6d-50cd1ad369fc
